LALS_2026,1.7.2021.1019,Taka,3/4/26,16:31:43,,,
S.100 Plate,SRC_LALS_2026,,8e-05,MWP 384,plate_1,,Waste Tube
DispenseToWaste=True,DispenseToWasteCycles=2,DispenseToWasteVolume=5e-08,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,SaveLiquids=Ask,
Source Well,Target Well,Volume [uL],Liquid Name,,,,
A1,D8,00.04,[Berberine chloride][0.01],,,,
A1,E6,00.04,[Berberine chloride][0.01],,,,
A1,F10,00.04,[Berberine chloride][0.01],,,,
B1,B10,00.04,[Berberine chloride][0.1],,,,
B1,D11,00.04,[Berberine chloride][0.1],,,,
B1,G3,00.04,[Berberine chloride][0.1],,,,
C1,E3,00.04,[Berberine chloride][1.0],,,,
C1,F8,00.04,[Berberine chloride][1.0],,,,
C1,G5,00.04,[Berberine chloride][1.0],,,,
D1,B7,00.04,[Etoposide][0.01],,,,
D1,C9,00.04,[Etoposide][0.01],,,,
D1,E11,00.04,[Etoposide][0.01],,,,
E1,B5,00.04,[Etoposide][0.1],,,,
E1,D6,00.04,[Etoposide][0.1],,,,
E1,G7,00.04,[Etoposide][0.1],,,,
F1,C2,00.04,[Etoposide][1.0],,,,
F1,F5,00.04,[Etoposide][1.0],,,,
F1,F9,00.04,[Etoposide][1.0],,,,
G1,C5,00.04,[Fenbendazole][0.01],,,,
G1,C7,00.04,[Fenbendazole][0.01],,,,
G1,D10,00.04,[Fenbendazole][0.01],,,,
H1,E7,00.04,[Fenbendazole][0.1],,,,
H1,F2,00.04,[Fenbendazole][0.1],,,,
H1,G4,00.04,[Fenbendazole][0.1],,,,
A2,B3,00.04,[Fenbendazole][1.0],,,,
A2,B9,00.04,[Fenbendazole][1.0],,,,
A2,D3,00.04,[Fenbendazole][1.0],,,,
B2,C6,00.04,[Sorbitol][0.01],,,,
B2,F4,00.04,[Sorbitol][0.01],,,,
B2,G9,00.04,[Sorbitol][0.01],,,,
C2,B4,00.04,[Sorbitol][0.1],,,,
C2,D4,00.04,[Sorbitol][0.1],,,,
C2,E10,00.04,[Sorbitol][0.1],,,,
D2,C8,00.04,[Sorbitol][1.0],,,,
D2,E2,00.04,[Sorbitol][1.0],,,,
D2,G11,00.04,[Sorbitol][1.0],,,,
E2,B11,00.04,[DMSO][0.0],,,,
E2,B2,00.04,[DMSO][0.0],,,,
E2,B6,00.04,[DMSO][0.0],,,,
E2,B8,00.04,[DMSO][0.0],,,,
E2,C10,00.04,[DMSO][0.0],,,,
E2,C11,00.04,[DMSO][0.0],,,,
E2,C3,00.04,[DMSO][0.0],,,,
E2,C4,00.04,[DMSO][0.0],,,,
E2,D2,00.04,[DMSO][0.0],,,,
E2,D5,00.04,[DMSO][0.0],,,,
E2,D7,00.04,[DMSO][0.0],,,,
E2,D9,00.04,[DMSO][0.0],,,,
E2,E4,00.04,[DMSO][0.0],,,,
E2,E5,00.04,[DMSO][0.0],,,,
E2,E8,00.04,[DMSO][0.0],,,,
E2,E9,00.04,[DMSO][0.0],,,,
E2,F11,00.04,[DMSO][0.0],,,,
E2,F3,00.04,[DMSO][0.0],,,,
E2,F6,00.04,[DMSO][0.0],,,,
E2,F7,00.04,[DMSO][0.0],,,,
E2,G10,00.04,[DMSO][0.0],,,,
E2,G2,00.04,[DMSO][0.0],,,,
E2,G6,00.04,[DMSO][0.0],,,,
E2,G8,00.04,[DMSO][0.0],,,,